work_A,work_B,jaccardSimilarity
47311,2402,0.11405320053443459
47311,2403,0.21973848407574195
47311,2404,0.23547443878513488
47311,2405,0.21508131569314437
47311,2406,0.0486793415847901
47311,2407,0.1213654373666565
47311,2408,0.13029000423805775
47311,2409,0.19557426474771034
47311,2410,0.198512969588551
47311,2411,0.20600669851205183
47311,2420,0.10792717262090971
47311,312160,0.08236093103661171
47311,34059,0.01774142812205096
47311,46021,0.1810063713440024
47311,48148,0.13511599079157074
47311,48919,0.15512747875354108
47311,49024,0.09970817120622569
47311,49593,0.10595592614651578
47311,5325,0.06242512138218047
47311,5326,0.07602122670615821
47311,5653,0.0752405949256343
47311,7875,0.06274781295235697
47311,9260,0.031079782121115028
47311,24249,0.1432181003790054
47311,3498,0.12923539901917075
47311,39792,0.00631606084042279
47311,45600,0.11324635637047485
47311,5607,0.1467735818388687
47311,6079,0.10993504931440944
47311,17622,0.12976963969285293
47311,2499,0.13304850162474424
47311,41051,0.18437312045491824
47311,41818,0.1683140514433337
47311,41907,0.16826147106294673
47311,42311,0.12003141234746889
47311,42338,0.18286055863493098
47311,46135,0.056894707030020766
47311,47818,0.1783786730632939
47311,49908,0.18504921521681297
47311,55321,0.19501654039056665
47311,60437,0.2116076550033895
47311,61266,0.17475672907300974
47311,64449,0.16279332767882387
47311,64466,0.16531165311653118
47311,64513,0.17447619047619048
47311,64522,0.14862965565706254
47311,64525,0.13468072642062098
47311,75802,0.19697603850580725
47311,79173,0.20040100766027455
47311,22492,0.18873408377929507
47311,22659,0.03300498912626327
47311,22761,0.052195423623995055
47311,24746,0.18476340987264106
47311,28280,0.1782392485495902
47311,38638,0.17901319092610343
47311,16304,0.08566096423017107
47311,21593,0.05138339920948617
47311,21989,0.10978141409207473
47311,22367,0.11450568251252596
47311,23532,0.0653574134882546
47311,25791,0.08293601003764116
47311,30570,0.005165622780396462
47311,30655,0.04682125111479169
47311,30753,0.015838269379345866
47311,38395,0.062177145017008946
47311,69327,0.1803435114503817
47311,30821,0.04083849939285486
47311,36076,0.10704615199470485
47311,38295,0.08784745867640686
47311,38754,0.05370276439259447
47311,38755,0.0351749187535844
47311,41197,0.11005310382713789
47311,46873,0.09005876004317065
47311,49543,0.1328222600795003
47311,55925,0.15708832573428055
47311,56182,0.14756344899413473
47311,6342,0.1539253399794116
47311,6343,0.15610725992799182
47311,10055,0.18242830994508846
47311,6820,0.010241545893719806
47311,6822,0.07289731202774681
47311,6831,0.05677736467326234
47311,6889,0.13632084353229146
47311,9108,0.09944922334302865
47311,9110,0.0688396677573622
47311,9157,0.11067604772101561
47311,9158,0.06711030196496955
47311,9159,0.05849882621661062
47311,9160,0.05528434666835732
47311,9186,0.12225365677481491
47311,9187,0.10588235294117647
47311,9325,0.09890652993142646
47311,9326,0.044877924395996686
